Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,54.000000,54.290001,53.869999,54.060001,44.781250,2856400
2019-06-20,55.180000,55.389999,54.770000,54.950001,45.518486,1494700
2019-06-21,55.410000,55.669998,55.369999,55.369999,45.866398,1027400
2019-06-24,55.779999,55.930000,55.549999,55.750000,46.181183,1115700
2019-06-25,55.860001,55.889999,55.380001,55.450001,45.932667,838100
2019-06-26,56.169998,56.540001,56.009998,56.080002,46.454536,1319400
2019-06-27,55.950001,56.000000,55.560001,55.599998,46.056923,617300
2019-06-28,55.860001,56.139999,55.740002,55.790001,46.214310,759200
2019-07-01,56.509998,56.540001,55.830002,56.029999,46.413116,955300
2019-07-02,56.430000,56.470001,55.849998,55.939999,46.338573,769300
2019-07-03,55.340000,55.529999,55.049999,55.509998,45.982376,1286300
2019-07-05,55.459999,55.580002,55.070000,55.369999,45.866398,575300
2019-07-08,55.570000,55.790001,55.459999,55.599998,46.056923,783200
2019-07-09,55.439999,55.580002,55.240002,55.480000,45.957512,797400
2019-07-10,56.169998,56.360001,55.860001,56.299999,46.636772,979100
2019-07-11,56.509998,56.570000,56.070000,56.430000,46.744469,1034100
2019-07-12,56.020000,56.500000,55.950001,56.450001,46.761036,2183300
2019-07-15,56.459999,56.810001,56.220001,56.580002,46.868721,2682500
2019-07-16,55.799999,56.250000,55.400002,55.590000,46.048645,2201100
2019-07-17,54.820000,54.869999,54.500000,54.630001,45.253414,3494600
2019-07-18,54.049999,54.459999,53.830002,54.450001,45.104313,2529800
2019-07-19,54.070000,54.540001,53.840000,54.500000,45.145725,1488200
2019-07-22,54.349998,54.540001,54.029999,54.410000,45.071175,1550900
2019-07-23,54.619999,54.759998,54.290001,54.299999,44.980053,1032300
2019-07-24,53.720001,54.220001,53.680000,53.759998,44.532734,2529900
2019-07-25,53.889999,53.939999,53.209999,53.290001,44.143406,876100
2019-07-26,53.860001,53.869999,53.389999,53.630001,44.425053,818700
2019-07-29,53.939999,53.939999,53.580002,53.669998,44.458183,1453600
2019-07-30,52.650002,53.250000,52.480000,53.150002,44.027443,3365900
2019-07-31,52.599998,52.630001,51.560001,51.740002,42.859444,3663000
2019-08-01,51.270000,51.630001,50.439999,50.930000,42.188473,2811200
2019-08-02,50.360001,50.470001,49.180000,49.389999,40.912796,4046100
2019-08-05,49.090000,49.349998,48.919998,49.139999,40.705696,3653400
2019-08-06,49.230000,49.340000,48.610001,48.970001,40.564888,2437500
2019-08-07,48.209999,49.049999,47.910000,48.759998,40.390923,1306500
2019-08-08,48.900002,49.349998,48.730000,49.320000,40.854813,1211000
2019-08-09,48.950001,49.029999,48.580002,48.790001,40.415779,1031900
2019-08-12,48.490002,48.669998,48.389999,48.630001,40.283241,1794900
2019-08-13,48.849998,49.939999,48.730000,49.430000,40.945927,5128800
2019-08-14,48.509998,48.790001,48.320000,48.320000,40.026447,4206100
2019-08-15,48.000000,48.439999,47.860001,48.049999,39.802792,1351600
2019-08-16,47.770000,48.230000,47.700001,48.009998,39.769657,1519600
2019-08-19,48.880001,49.080002,48.730000,48.910000,40.515182,1878200
2019-08-20,48.450001,48.639999,48.110001,48.570000,40.233543,1678700
2019-08-21,49.360001,49.410000,49.040001,49.119999,40.689137,988100
2019-08-22,49.369999,49.410000,48.799999,48.970001,40.564888,866800
2019-08-23,48.630001,49.000000,48.000000,48.119999,39.860779,1535100
2019-08-26,48.889999,48.980000,48.419998,48.520000,40.192123,1414500
2019-08-27,48.980000,49.139999,48.439999,48.730000,40.366077,1163300
2019-08-28,48.779999,49.259998,48.599998,49.099998,40.672573,1062100
2019-08-29,49.799999,49.880001,49.520000,49.529999,41.028767,1119300
2019-08-30,50.250000,50.259998,49.549999,49.919998,41.351830,1398200
2019-09-03,48.810001,49.389999,48.740002,49.290001,40.829964,3011500
2019-09-04,49.840000,50.080002,49.750000,49.919998,41.351830,1083700
2019-09-05,50.799999,51.029999,50.400002,50.410000,41.757729,1614000
2019-09-06,50.349998,50.660000,50.169998,50.520000,41.848843,1131000
2019-09-09,50.939999,51.279999,50.860001,50.919998,42.180191,1639400
2019-09-10,52.139999,52.450001,51.709999,51.869999,42.967140,1869700
2019-09-11,52.009998,52.270000,51.310001,51.439999,42.610939,1254200
2019-09-12,50.980000,51.779999,50.790001,51.700001,42.826317,1099600
2019-09-13,51.889999,51.939999,51.410000,51.849998,42.950562,1314100
2019-09-16,52.880001,53.320000,52.570000,52.639999,43.604977,2592200
2019-09-17,53.740002,53.779999,52.369999,52.820000,43.754078,3060500
2019-09-18,52.930000,53.340000,52.580002,52.830002,43.762367,1295400
2019-09-19,53.549999,53.560001,52.470001,52.860001,43.787216,1240300
2019-09-20,54.029999,54.480000,53.840000,53.840000,44.599007,2658100
2019-09-23,53.360001,54.049999,53.270000,53.669998,44.458183,1794500
2019-09-24,53.450001,53.500000,51.900002,51.939999,43.025116,2780100
2019-09-25,50.799999,51.009998,50.490002,50.790001,42.663673,2784200
2019-09-26,51.080002,51.880001,50.930000,51.689999,43.419678,3382900
2019-09-27,51.689999,52.160000,51.610001,51.860001,43.562477,4425400
2019-09-30,51.959999,52.290001,51.869999,52.000000,43.680077,4659500
2019-10-01,52.259998,52.360001,51.389999,51.500000,43.260078,12697000
2019-10-02,50.520000,50.599998,49.759998,49.970001,41.974873,3987400
2019-10-03,49.180000,49.709999,48.810001,49.430000,41.521275,4682100
2019-10-04,49.500000,49.580002,48.770000,48.860001,41.042477,6326300
2019-10-07,49.400002,49.790001,48.990002,49.060001,41.210476,4262800
2019-10-08,48.820000,49.099998,48.540001,48.540001,40.773674,2849300
2019-10-09,49.230000,49.389999,49.020000,49.090000,41.235676,2458900
2019-10-10,49.630001,50.130001,49.520000,49.840000,41.865673,2454300
2019-10-11,51.090000,51.299999,50.889999,50.990002,42.831676,2388900
2019-10-14,50.349998,50.779999,50.259998,50.650002,42.546078,1788300
2019-10-15,50.990002,51.500000,50.930000,51.029999,42.865276,1582200
2019-10-16,51.080002,51.459999,51.080002,51.099998,42.924076,1202500
2019-10-17,51.610001,51.669998,51.220001,51.520000,43.276878,1301000
2019-10-18,51.770000,51.869999,51.459999,51.470001,43.234882,1053100
2019-10-21,51.939999,52.099998,51.770000,52.009998,43.688480,867300
2019-10-22,52.299999,52.730000,52.040001,52.369999,43.990879,938200
2019-10-23,52.450001,52.869999,52.299999,52.869999,44.410881,773100
2019-10-24,53.070000,53.080002,52.320000,52.419998,44.032879,834400
2019-10-25,52.480000,52.959999,52.400002,52.759998,44.318478,1097600
2019-10-28,53.119999,53.230000,52.869999,52.869999,44.410881,1409600
2019-10-29,52.590000,53.270000,52.549999,52.680000,44.251282,1832000
2019-10-30,52.880001,53.029999,52.080002,52.650002,44.226078,2035400
2019-10-31,52.639999,52.869999,52.130001,52.630001,44.209278,2335400
2019-11-01,52.930000,53.430000,52.930000,53.220001,44.704884,2739800
2019-11-04,54.189999,54.419998,54.000000,54.049999,45.402081,2965900
2019-11-05,54.750000,54.820000,54.500000,54.799999,46.032082,2062900
2019-11-06,54.619999,54.910000,54.139999,54.290001,45.603680,2371400
2019-11-07,54.810001,54.930000,54.529999,54.889999,46.107685,1083600
2019-11-08,54.250000,54.810001,53.970001,54.799999,46.032082,1575200
